student,question,explanationText,score,upvotes,downvotes,postTimeStamp
472,301,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:37.144152+00:00
472,302,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:26.178969+00:00
472,303,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:13.459465+00:00
472,304,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:30:59.631110+00:00
472,294,qq:1079832777 ,0,0,0,2016-10-09 08:20:04.840706+00:00
472,289, the test condition is always false ,0,0,0,2016-10-09 08:19:21.691594+00:00
472,288,i = i + 1; ,0,0,0,2016-10-09 08:10:43.818024+00:00
472,282,Compile-time ,0,0,0,2016-10-09 08:09:33.448430+00:00
472,296,x is 1 not 1 or 2 ,0,0,0,2016-10-09 08:08:41.214257+00:00
472,303,main method ,0,0,0,2016-10-09 08:07:56.372880+00:00
472,302,True ,0,0,0,2016-10-09 08:07:18.879468+00:00
472,301,constructor ,0,0,0,2016-10-09 08:06:33.348980+00:00
472,300,None of the above. ,0,0,0,2016-10-09 08:05:09.840443+00:00
472,299,"In a class, you can have two methods with the same number and type of input arguments and different return type. ",0,0,0,2016-10-09 08:04:43.420026+00:00
472,304,constructor,0,0,0,2016-10-09 08:02:57.250638+00:00
472,298,"
I think correct answer is Box obj = new Box(); 
",0,0,0,2016-10-09 08:02:21.052744+00:00
130,265,\t is just a tab,0,0,0,2016-10-07 22:28:46.878872+00:00
145,297,Null?,0,0,0,2016-10-07 17:40:41.342872+00:00
326,300,,0,0,0,2016-10-05 21:02:45.129940+00:00
142,293,Prints an infinite amount of times,0,0,0,2016-10-05 17:06:27.219893+00:00
142,289,,0,0,0,2016-10-05 16:58:46.495624+00:00
371,298,!,0,0,0,2016-10-04 04:17:47.900255+00:00
371,296,the else belongs to the second if,0,0,0,2016-10-01 20:58:09.189259+00:00
371,294," outer 6, inner 24 
",0,0,0,2016-10-01 20:52:58.535638+00:00
371,292,"?
",0,0,0,2016-09-28 06:10:14.188163+00:00
345,287,iteration,0,0,0,2016-09-22 16:34:05.737239+00:00
345,285,"b1 is false and in the if statement it says b1 is true and in the if statement, both condition must be true in order to go in so the else statement will run ",0,0,0,2016-09-22 03:14:46.029927+00:00
345,286,I have no idea.. I guess because the value of var2 is changed during the if statement,0,0,0,2016-09-22 03:12:45.020246+00:00
371,286,?,0,0,0,2016-09-22 01:35:19.885900+00:00
403,285,"The boolean being declared false will cause the if statement to not execute, including the reassignment of the Output variable, which will remain at 10 as a result. The else statement will print out with the original value of the Output variable since it isn't changed.",0,0,0,2016-09-21 22:17:05.800384+00:00
403,284,"""++g"" increments the variable before it is used in the multiplication operation.",0,0,0,2016-09-21 22:14:13.295725+00:00
403,286,"var2 is reassigned  to 1 in the condition of the if statement, it isn't equal to var1 so the statement inside the if doesn't execute, but the else statement does. var2 is incremented to 2 before it is printed.",0,0,0,2016-09-21 21:07:59.585567+00:00
371,276,"do
while",0,0,0,2016-09-21 04:48:40.413848+00:00
371,284,(1+3)*8,0,0,0,2016-09-21 04:47:44.287567+00:00
371,275,"?
",0,0,0,2016-09-21 04:45:22.825836+00:00
